brazo,corrida,delta_sum_s,delta_count,latencia_media_ms
A,r1,80.7109993587854,32286.370050729776,2.4998
B,r1,36.50018754137152,21523.2042028626,1.6959
C,r1,44.9999112685511,22305.745808376276,2.0174
B,r2,30.46281630765241,20275.372170890412,1.5025
C,r2,38.67382957897944,19048.328161747235,2.0303
A,r2,84.51882240474725,34460.15480830295,2.4527
C,r3,41.147651327843136,21519.109055817626,1.9121
A,r3,42.053596619025,20266.849015510532,2.0750
B,r3,46.70053009229779,31357.99776639041,1.4893
