timestamp,name,cpu_perc,mem_usage
2026-09-11T02:01:45Z,ha08-api,3.02%,124.9MiB / 1GiB
2026-09-11T02:01:45Z,ha08-simulator,0.84%,22.34MiB / 512MiB
2026-09-11T02:01:45Z,ha08-projector,0.66%,31.21MiB / 512MiB
2026-09-11T02:01:45Z,ha08-postgres,1.47%,88.95MiB / 2GiB
2026-09-11T02:01:45Z,ha08-redis,2.65%,22.25MiB / 512MiB
2026-09-11T02:01:45Z,ha08-prometheus,0.00%,110.8MiB / 512MiB
2026-09-11T02:01:45Z,ha08-grafana,0.11%,219.9MiB / 512MiB
2026-09-11T02:01:45Z,ha08-redpanda,5.64%,932.5MiB / 1GiB
2026-09-11T02:01:58Z,ha08-api,3.21%,124.9MiB / 1GiB
2026-09-11T02:01:58Z,ha08-simulator,1.06%,22.4MiB / 512MiB
2026-09-11T02:01:58Z,ha08-projector,1.19%,31.21MiB / 512MiB
2026-09-11T02:01:58Z,ha08-postgres,2.31%,100.4MiB / 2GiB
2026-09-11T02:01:58Z,ha08-redis,2.05%,23.07MiB / 512MiB
2026-09-11T02:01:58Z,ha08-prometheus,0.80%,110.8MiB / 512MiB
2026-09-11T02:01:58Z,ha08-grafana,0.22%,219.9MiB / 512MiB
2026-09-11T02:01:58Z,ha08-redpanda,1.13%,932.5MiB / 1GiB
2026-09-11T02:02:10Z,ha08-api,4.48%,125.5MiB / 1GiB
2026-09-11T02:02:10Z,ha08-simulator,1.60%,22.42MiB / 512MiB
2026-09-11T02:02:10Z,ha08-projector,1.26%,31.21MiB / 512MiB
2026-09-11T02:02:10Z,ha08-postgres,3.11%,107.2MiB / 2GiB
2026-09-11T02:02:10Z,ha08-redis,1.73%,23.4MiB / 512MiB
2026-09-11T02:02:10Z,ha08-prometheus,0.39%,110.8MiB / 512MiB
2026-09-11T02:02:10Z,ha08-grafana,0.01%,219.9MiB / 512MiB
2026-09-11T02:02:10Z,ha08-redpanda,1.81%,932.5MiB / 1GiB
2026-09-11T02:02:23Z,ha08-api,4.51%,125.2MiB / 1GiB
2026-09-11T02:02:23Z,ha08-simulator,1.62%,22.43MiB / 512MiB
2026-09-11T02:02:23Z,ha08-projector,1.45%,31.21MiB / 512MiB
2026-09-11T02:02:23Z,ha08-postgres,3.02%,113.2MiB / 2GiB
2026-09-11T02:02:23Z,ha08-redis,1.08%,24MiB / 512MiB
2026-09-11T02:02:23Z,ha08-prometheus,0.24%,110.8MiB / 512MiB
2026-09-11T02:02:23Z,ha08-grafana,0.07%,219.9MiB / 512MiB
2026-09-11T02:02:23Z,ha08-redpanda,1.24%,932.5MiB / 1GiB
2026-09-11T02:02:35Z,ha08-api,3.53%,125MiB / 1GiB
2026-09-11T02:02:35Z,ha08-simulator,1.07%,22.44MiB / 512MiB
2026-09-11T02:02:35Z,ha08-projector,0.89%,31.2MiB / 512MiB
2026-09-11T02:02:35Z,ha08-postgres,2.03%,116.5MiB / 2GiB
2026-09-11T02:02:35Z,ha08-redis,1.67%,24.62MiB / 512MiB
2026-09-11T02:02:35Z,ha08-prometheus,0.00%,110.8MiB / 512MiB
2026-09-11T02:02:35Z,ha08-grafana,0.04%,219.9MiB / 512MiB
2026-09-11T02:02:35Z,ha08-redpanda,1.37%,932.5MiB / 1GiB
2026-09-11T02:02:48Z,ha08-api,20.37%,125MiB / 1GiB
2026-09-11T02:02:48Z,ha08-simulator,0.95%,22.45MiB / 512MiB
2026-09-11T02:02:48Z,ha08-projector,0.84%,31.21MiB / 512MiB
2026-09-11T02:02:48Z,ha08-postgres,1.94%,119.3MiB / 2GiB
2026-09-11T02:02:48Z,ha08-redis,0.59%,25.15MiB / 512MiB
2026-09-11T02:02:48Z,ha08-prometheus,0.13%,110.8MiB / 512MiB
2026-09-11T02:02:48Z,ha08-grafana,0.02%,219.9MiB / 512MiB
2026-09-11T02:02:48Z,ha08-redpanda,0.87%,932.5MiB / 1GiB
2026-09-11T02:03:00Z,ha08-api,4.05%,125MiB / 1GiB
2026-09-11T02:03:00Z,ha08-simulator,1.63%,22.39MiB / 512MiB
2026-09-11T02:03:00Z,ha08-projector,0.95%,31.21MiB / 512MiB
2026-09-11T02:03:00Z,ha08-postgres,2.76%,121.9MiB / 2GiB
2026-09-11T02:03:00Z,ha08-redis,1.39%,25.71MiB / 512MiB
2026-09-11T02:03:00Z,ha08-prometheus,0.36%,110.8MiB / 512MiB
2026-09-11T02:03:00Z,ha08-grafana,0.10%,219.9MiB / 512MiB
2026-09-11T02:03:00Z,ha08-redpanda,1.48%,932.5MiB / 1GiB
2026-09-11T02:03:13Z,ha08-api,6.40%,129.8MiB / 1GiB
2026-09-11T02:03:13Z,ha08-simulator,1.63%,22.44MiB / 512MiB
2026-09-11T02:03:13Z,ha08-projector,1.17%,31.2MiB / 512MiB
2026-09-11T02:03:13Z,ha08-postgres,2.73%,123.6MiB / 2GiB
