corrida,brazo,fase,p50_ms,p95_ms,p99_ms,cotizaciones,error_pct,respaldo_pct,edad_p50_s,edad_p95_s,acierto,breaker_max,inflight_max,refrescos_activos_max,llamadas_fallidas,coalescidas,invocaciones_por_fallo,cortadas_por_breaker,sobre_225_pct,sobre_475_pct,lag_p99_ms,parones_250ms,p95_cache_ms,p95_open_finance_ms,p95_default_ms,p95_fallback_ms,s_hasta_abrir,s_hasta_cerrar,s_hasta_respaldo_bajo_5pct,pico_invocaciones_recuperacion,linea_base_invocaciones
cache_singleflight_b3_estampida_hr0.96,cache_singleflight,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,0.0,9.22,9.67
cache_singleflight_b3_estampida_ttl2,cache_singleflight,sana,58.1,103.9,154.9,24003.0,0.0,0.26,0.9,4.6,0.9223,0.0,3.0,3.0,0.0,753.0,0.6,,0.0,0.0,3.8,0.0,64.3,164.3,,189.2,,,,,
cache_singleflight_b3_estampida_ttl2,cache_singleflight,degradada,57.7,64.7,184.6,24203.0,0.0,98.495,62.3,276.2,0.011,2.0,18.0,18.0,80.0,595.0,0.0,23070.0,0.0,0.0,4.1,0.0,64.2,150.0,,64.7,,,,,
cache_singleflight_b3_estampida_ttl2,cache_singleflight,recuperacion,58.0,96.9,151.2,12001.0,0.0,15.127,1.5,219.5,0.7841,2.0,5.0,5.0,0.0,333.0,0.19,1777.0,0.0,0.0,4.2,0.0,64.3,164.1,,64.5,,,,,
cache_singleflight_b3_estampida_ttl2,cache_singleflight,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,24.0,9.89,9.89
direct_b1_r1_caido,direct,sana,123.9,173.8,209.0,11998.0,0.0,0.0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,inf,,0.42,0.0,4.6,0.0,,173.8,,,,,,,
direct_b1_r1_caido,direct,degradada,57.6,64.4,80.9,12108.0,0.0,98.889,0.0,0.0,,2.0,8.0,0.0,516.0,0.0,inf,11430.0,0.008,0.0,4.6,0.0,,170.0,64.3,,,,,,
direct_b1_r1_caido,direct,recuperacion,120.4,172.5,205.0,5994.0,0.0,9.06,0.0,0.0,,2.0,9.0,0.0,0.0,0.0,inf,537.0,0.39,0.0,4.6,0.0,,173.9,64.2,,,,,,
direct_b1_r1_caido,direct,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,20.0,100.37,100.57
direct_b1_r1_degradado,direct,sana,124.5,173.3,206.1,11998.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,inf,,0.303,0.008,4.6,0.0,,173.3,,,,,,,
direct_b1_r1_degradado,direct,degradada,57.9,122.2,778.1,12105.0,0.0,98.941,0.0,0.0,,2.0,70.0,0.0,549.0,0.0,inf,11417.0,4.547,4.547,4.6,0.0,,172.7,64.9,,,,,,
direct_b1_r1_degradado,direct,recuperacion,116.5,169.5,202.1,5994.0,0.0,18.782,0.0,0.0,,2.0,9.0,0.0,0.0,0.0,inf,1120.0,0.356,0.0,4.6,0.0,,172.9,64.2,,,,,,
direct_b1_r1_degradado,direct,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,26.0,100.33,100.68
direct_b1_r1_lento,direct,sana,124.4,173.4,208.5,12003.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,inf,,0.445,0.0,,,,173.4,,,,,,,
direct_b1_r1_lento,direct,degradada,448.8,545.4,654.9,11967.0,0.0,0.0,0.0,0.0,,0.0,62.0,0.0,0.0,0.0,inf,,99.84,34.103,,,,545.4,,,,,,,
direct_b1_r1_lento,direct,recuperacion,125.2,180.5,316.0,6132.0,0.0,0.0,0.0,0.0,,0.0,40.0,0.0,0.0,0.0,inf,,1.592,0.216,,,,180.5,,,,,,,
direct_b1_r1_lento,direct,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,103.77,100.44
direct_b1_r1_sano,direct,sana,124.2,174.6,210.5,12002.0,0.0,0.0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,inf,,0.471,0.025,4.6,0.0,,174.6,,,,,,,
direct_b1_r1_sano,direct,degradada,124.1,174.1,208.1,12000.0,0.0,0.0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,inf,,0.412,0.0,4.6,0.0,,174.1,,,,,,,
direct_b1_r1_sano,direct,recuperacion,124.4,173.5,211.3,6098.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,inf,,0.383,0.0,4.5,0.0,,173.5,,,,,,,
direct_b1_r1_sano,direct,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100.34,100.44
direct_b1_r1_sin_respuesta,direct,sana,124.8,174.5,209.9,11999.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,inf,,0.462,0.0,4.5,0.0,,174.5,,,,,,,
direct_b1_r1_sin_respuesta,direct,degradada,57.9,64.9,776.5,12009.0,0.0,99.431,0.0,0.0,,2.0,70.0,0.0,549.0,0.0,inf,11402.0,4.255,4.255,4.6,0.0,,184.0,64.9,,,,,,
direct_b1_r1_sin_respuesta,direct,recuperacion,116.5,169.6,197.4,6093.0,0.0,19.206,0.0,0.0,,2.0,10.0,0.0,0.0,0.0,inf,1164.0,0.234,0.0,4.6,0.0,,172.8,64.2,,,,,,
direct_b1_r1_sin_respuesta,direct,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,7.0,13.0,26.0,100.24,100.34
